car,power,fuel,place,mileage,price,year,gearbox
Citroën C4 1.6 VTi Vitamin,120 KM,Benzyna,Iskrzynia (Podkarpackie),193 000 km,17 000 PLN,2012.0,Manualna
Toyota Aygo,68 KM,Benzyna,,208 000 km,,,
Peugeot 508 HDi FAP 160 Allure,163 KM,Diesel,Rzeszów (Podkarpackie),270 000 km,13 800 PLN,2012.0,Manualna
Peugeot 208 1.2 PureTech Active,82 KM,Benzyna,Brzozów (Podkarpackie),95 000 km,17 500 PLN,2013.0,Manualna
Skoda Citigo 1.0 Ambition,60 KM,Benzyna+LPG,Boguchwała (Podkarpackie),121 000 km,16 000 PLN,2012.0,Manualna
Seat Exeo ST ver-2-0-tdi-cr-multitronic-sport,143 KM,Diesel,Le?ajsk (Podkarpackie),225 600 km,19 400 PLN,2012.0,Automatyczna
Hyundai i20 1.2 Trend,84 KM,Benzyna+LPG,??czki Kucharskie (Podkarpackie),258 000 km,10 000 PLN,2014.0,Manualna
Mitsubishi Space Star 1.0 Active,71 KM,Benzyna,Dyn?w (Podkarpackie),140 000 km,14 900 PLN,2014.0,Manualna
Fiat Doblo 1.3 Multijet 16V Active,90 KM,Diesel,Ropczyce (Podkarpackie),167 000 km,,2013.0,Manualna
Fiat Punto Evo,69 KM,Benzyna,Głogów Małopolski (Podkarpackie),160 000 km,13 900 PLN,2012.0,Manualna
Peugeot 208 82 PureTech Style,82 KM,Benzyna,Jarosław (Podkarpackie),129 060 km,17 900 PLN,2015.0,Manualna
Audi A3 3-drzwiowe,105 KM,Diesel,Domaradz (Podkarpackie),251 000 km,16 400 PLN,2012.0,Manualna
Renault Scenic,110 KM,Diesel,,240 000 km,,,
Ford Fiesta 1.0 EcoBoost S&S ST-LINE,100 KM,Benzyna,Rzesz?w (Podkarpackie),90 500 km,19 900 PLN,2015.0,Manualna
Volkswagen up!,75 KM,Benzyna,Nowosielce (Podkarpackie),209 846 km,16 900 PLN,2012.0,Manualna
Opel Meriva 1.4 Innovation,100 KM,Benzyna,Rzesz?w (Podkarpackie),199 200 km,15 900 PLN,2012.0,Manualna
Dacia Duster,125 KM,Benzyna,Osiek Jasielski (Podkarpackie),208 000 km,19 800 PLN,2014.0,Manualna
Hyundai i10,69 KM,Benzyna,Rzeszów (Podkarpackie),128 000 km,16 500 PLN,2013.0,Manualna
Kia Picanto,69 KM,Benzyna,Głogę,190 000 km,,2015.0,Manualna
Skoda RAPID 1.2 MPI Ambition,75 KM,Benzyna,Jarosław (Podkarpackie),140 000 km,19 900 PLN,2014.0,Manualna
"Chevrolet Orlando 2.0 TD LTZ&#43;",163 KM,Diesel,Rzeszów (Podkarpackie),215 899 km,19 900 PLN,2013.0,Automatyczna
Hyundai i30 i30cw 1.4 Comfort,109 KM,Benzyna,Sanok (Podkarpackie),166 000 km,18 900 PLN,2012.0,Manualna
Mazda 2,75 KM,Benzyna,Brzoz?w (Podkarpackie),112 000 km,19 999 PLN,2012.0,Manualna
Volkswagen Polo,75 KM,Diesel,Pilzno (Podkarpackie),213 000 km,18 500 PLN,2014.0,Manualna
Ford Focus 1.6 TDCi DPF Start-Stopp-System Business,115 KM,Diesel,Gorzyce (Podkarpackie),230 000 km,16 900 PLN,2014.0,Manualna
Opel Astra,110 KM,Diesel,Jaros?aw (Podkarpackie),235 000 km,16 900 PLN,2014.0,Manualna
Hyundai i20 1.25 Comfort,85 KM,Benzyna,D?bica (Podkarpackie),177 000 km,18 700 PLN,2013.0,Manualna
Citro?n C5,114 KM,Diesel,Zag?rz (Podkarpackie),146 841 km,19 900 PLN,2013.0,Manualna
Citro?n C4 1.6 HDi Attraction,92 KM,Diesel,Rzesz?w (Podkarpackie),389 233 km,8 900 PLN,2012.0,Manualna
Ford Fiesta 1.4 Trend,96 KM,Benzyna+LPG,Ropczyce (Podkarpackie),240 000 km,19 900 PLN,2016.0,Manualna
Nissan Micra,80 KM,Benzyna,Przemyśl (Podkarpackie),120 000 km,19 500 PLN,2013.0,Manualna
Dacia Duster 1.6 16V 4x2,105 KM,Benzyna,Dębica (Podkarpackie),278 000 km,14 999 PLN,2013.0,Manualna
Seat Ibiza 1.2 TSI Copa,105 KM,Benzyna,Majdan Sieniawski (Podkarpackie),180 000 km,18 900 PLN,2013.0,Manualna
Opel Corsa 1.2 16V Color Edition,85 KM,Benzyna,,200 000 km,,,
Skoda Fabia,75 KM,Diesel,Majdan Sieniawski (Podkarpackie),304 000 km,6 900 PLN,2012.0,Manualna
Skoda Citigo 1.0 Style,60 KM,Benzyna,Nowosielce (Podkarpackie),174 759 km,18 000 PLN,2013.0,Manualna
Peugeot 208 e-HDi FAP 92 Stop&Start Allure,92 KM,Diesel,Baranów Sandomierski (Podkarpackie),199 701 km,16 299 PLN,2013.0,Manualna
Opel Corsa 1.2 16V Easytronic Energy,85 KM,Benzyna,Dynów (Podkarpackie),170 350 km,17 999 PLN,2013.0,Manualna
Ford Fiesta 1.25 Champions Edition,82 KM,Benzyna,Tarnobrzeg (Podkarpackie),180 000 km,19 900 PLN,2013.0,Manualna
Renault Megane 1.5 dCi Bose Edition,110 KM,Diesel,Mielec (Podkarpackie),207 216 km,17 500 PLN,2012.0,Manualna
Ford Fiesta 1.0 EcoBoost Titanium,100 KM,,,,,,
Opel Meriva 1.4 T Enjoy,140 KM,Benzyna,Brzoz?w (Podkarpackie),188 716 km,18 800 PLN,2012.0,Manualna
Citro?n C5,115 KM,Diesel,Krosno (Podkarpackie),294 000 km,11 000 PLN,2013.0,Manualna
Dacia Logan 1.2 16V 75 Ambiance,75 KM,Benzyna,Kraczkowa (Podkarpackie),179 000 km,14 900 PLN,2014.0,Manualna
Volkswagen up! white,60 KM,Benzyna,Rzesz?w (Podkarpackie),158 500 km,16 399 PLN,2012.0,Manualna
Suzuki Swift,136 KM,Benzyna,?a?cut (Podkarpackie),208 000 km,20 000 PLN,2012.0,Manualna
Dacia Sandero dCi 90 Celebration,90 KM,Diesel,D?bica (Podkarpackie),201 000 km,17 900 PLN,2014.0,Manualna
Hyundai i30 1.6 CRDi Classic,110 KM,Diesel,w (Podkarpackie),289 500 km,12 900 PLN,2013.0,Manualna
Hyundai i30 1.6 CRDi Classic,110 KM,Diesel,Rzeszów (Podkarpackie),289 500 km,12 900 PLN,2013.0,Manualna
Citroën C3 Picasso,92 KM,Diesel,Brzeźnica (Podkarpackie),200 000 km,14 900 PLN,2012.0,Manualna
Skoda Fabia,75 KM,Benzyna+LPG,Rzeszów (Podkarpackie),259 000 km,15 999 PLN,2016.0,Manualna
Peugeot 308 1.6 Premium,156 KM,Benzyna,Tarnobrzeg (Podkarpackie),185 000 km,17 900 PLN,2012.0,Manualna
Nissan Qashqai 1.6 dCi 4 x 4 DPF Start/Stop 360,130 KM,Diesel,D?bica (Podkarpackie),330 000 km,19 999 PLN,2012.0,Manualna
Opel Corsa,87 KM,Benzyna,Rzesz?w (Podkarpackie),223 000 km,13 000 PLN,2013.0,Manualna
Peugeot 308 1.4 Trendy,98 KM,Benzyna,Kraczkowa (Podkarpackie),176 000 km,,2012.0,Manualna
Dacia Sandero Stepway,90 KM,Benzyna,Rzesz?w (Podkarpackie),140 000 km,16 500 PLN,2013.0,Manualna
Ford Focus 1.6 TDCi Trend ECOnetic,105 KM,Diesel,Rzesz?w (Podkarpackie),214 000 km,19 900 PLN,2014.0,Manualna
Seat Ibiza,86 KM,Benzyna,Jaros?aw (Podkarpackie),221 000 km,17 900 PLN,2012.0,Manualna
Renault Grand Scenic,130 KM,,,,16 500 PLN,,
Volkswagen Jetta 1.6 TDI Trendline,105 KM,Diesel,Padew Narodowa (Podkarpackie),226 600 km,19 800 PLN,2012.0,Manualna
Opel Corsa 1.4 16V Active,100 KM,Benzyna,Tarnobrzeg (Podkarpackie),173 441 km,19 900 PLN,2013.0,Manualna
Kia Ceed,136 KM,Diesel,Stalowa Wola (Podkarpackie),272 800 km,19 500 PLN,2017.0,Automatyczna
Opel Astra 1.4 Turbo 150 Jahre,140 KM,Benzyna,Rzeszów (Podkarpackie),214 234 km,19 900 PLN,2013.0,Manualna
Peugeot 5008 1.6 HDi Active 7os,112 KM,Diesel,Ustrzyki Dolne (Podkarpackie),279 096 km,19 500 PLN,2012.0,Manualna
Seat Mii 1.0 Ecomotive 4You White,60 KM,Benzyna,Korczyna (Podkarpackie),149 000 km,19 900 PLN,2015.0,Manualna
Opel Corsa 1.2 16V Color Edition,70 KM,,,,,,
Alfa Romeo Giulietta 1.6 JTDM Veloce,105 KM,Diesel,Rzesz?w (Podkarpackie),291 211 km,16 999 PLN,2013.0,Manualna
Opel Meriva 1.6 CDTI ecoflex Start/Stop Edition,136 KM,Diesel,Kraczkowa (Podkarpackie),279 000 km,19 900 PLN,2014.0,Manualna
Ford Fiesta,80 KM,Benzyna,Rzesz?w (Podkarpackie),150 000 km,,2013.0,Manualna
Renault Clio Energy dCi 90 Start & Stop Luxe,90 KM,Diesel,Ropczyce (Podkarpackie),200 000 km,19 800 PLN,2013.0,Manualna
Peugeot 208,95 KM,Benzyna,Tarnobrzeg (Podkarpackie),215 000 km,16 900 PLN,2012.0,Manualna
Skoda Octavia 1.6 TDI 4x4 Elegance,105 KM,Diesel,Rzeszów (Podkarpackie),186 905 km,19 900 PLN,2012.0,Manualna
Volkswagen Golf Plus 1.6 TDI DPF MATCH,105 KM,,,,,,
Citroën C3 Pure Tech (VTi) 82 Exclusive,82 KM,Benzyna,Brzozów (Podkarpackie),159 000 km,19 700 PLN,2014.0,Manualna
Skoda Octavia 1.6 TDI Ambition,105 KM,Diesel,Mielec (Podkarpackie),361 000 km,16 700 PLN,2014.0,Manualna
Volkswagen Polo 1.2 Trendline,70 KM,Benzyna,Tajęcina (Podkarpackie),223 000 km,,2012.0,Manualna
Ford Focus 1.0 EcoBoost Trend ASS,100 KM,Benzyna,Łańcut (Podkarpackie),208 000 km,19 000 PLN,2016.0,Manualna
Skoda Fabia,86 KM,Benzyna,Rzeszów (Podkarpackie),198 000 km,19 500 PLN,2013.0,Automatyczna
Kia Picanto 1.0 L,69 KM,Benzyna+LPG,Biały Bór (Podkarpackie),230 062 km,10 490 PLN,2012.0,Manualna
Ford Focus 1.6 TDCi Edition,115 KM,Diesel,Try?cza (Podkarpackie),225 500 km,19 500 PLN,2012.0,Manualna
Ford Focus 1.0 EcoBoost Start-Stopp-System Ambiente,100 KM,Benzyna,Rzesz?w (Podkarpackie),130 295 km,18 900 PLN,2013.0,Manualna
Dacia Sandero,90 KM,Benzyna,Rzesz?w (Podkarpackie),147 000 km,19 500 PLN,2016.0,Manualna
Ford C-MAX,120 KM,Benzyna+LPG,D?,225 100 km,,2012.0,Manualna
Renault Clio Energy TCe 90 Start & Stop Intens,90 KM,Benzyna,Łańcut (Podkarpackie),176 000 km,19 900 PLN,2015.0,Manualna
Renault Megane 1.5 dCi Bose Edition,110 KM,Diesel,Markowa (Podkarpackie),276 369 km,13 800 PLN,2012.0,Manualna
Ford Focus 1.6 TDCi Trend,95 KM,Diesel,Dubiecko (Podkarpackie),240 000 km,20 000 PLN,2015.0,Manualna
Opel Astra J 1.7 Sports Tourer CDTI,110 KM,Diesel,Mielec (Podkarpackie),262 000 km,19 200 PLN,2012.0,Manualna
Chevrolet Cruze,140 KM,Benzyna,D?bica (Podkarpackie),201 354 km,18 800 PLN,2013.0,Manualna
Skoda Fabia 1.0 Active,75 KM,Benzyna+LPG,Kolbuszowa Dolna (Podkarpackie),262 553 km,19 900 PLN,2015.0,Manualna
Citro?n C4 1.6 HDi Selection,112 KM,Diesel,,243 400 km,,,Manualna
Renault Megane 1.6 16V Color Edition,100 KM,Benzyna,Kraczkowa (Podkarpackie),288 000 km,14 950 PLN,2012.0,Manualna
Ford Transit Courier,100 KM,Benzyna,Orzechówka (Podkarpackie),194 000 km,17 900 PLN,2014.0,Manualna
Alfa Romeo Giulietta,120 KM,Benzyna+LPG,Rzeszów (Podkarpackie),230 000 km,19 900 PLN,2012.0,Manualna
4 TSI Comfortline,150 KM,Benzyna+CNG,Rzeszów (Podkarpackie),267 000 km,19 900 PLN,2012.0,Manualna
Peugeot 208 68 VTI Active,68 KM,Benzyna,Jasionka (Podkarpackie),223 700 km,12 900 PLN,2013.0,Manualna
Hyundai i20 1.1 CRDi Classic,75 KM,Diesel,Rzeszów (Podkarpackie),267 187 km,17 500 PLN,2015.0,Manualna
Toyota Auris 1.4 D-4D Life,90 KM,Diesel,Krosno (Podkarpackie),260 000 km,,2012.0,Manualna
Skoda Octavia 1.6 TDI Active,110 KM,Diesel,Mielec (Podkarpackie),413 977 km,19 900 PLN,2016.0,Manualna
Kia Rio 1.2 M,84 KM,Benzyna+LPG,Lesko (Podkarpackie),318 688 km,18 900 PLN,2017.0,Manualna
Skoda Fabia,90 KM,Benzyna,S?dzisz?w Ma?opolski (Podkarpackie),346 398 km,17 300 PLN,2016.0,Manualna
